id,Codigo Categoria,name,descripcion,precio,imagen,categorias,linkDePago
1,602,Botas cortas al tobillo,"Combinacion cuero negro y animalprint, suela corrida color blanco, con cierre",5900,https://i.postimg.cc/q7qh5gxB/Pasted-Graphic-2.webp,Botas,
2,602,Botas cortas al tobillo,Combacion cuero croco cafe y cuero tostado con Elastico y plantilla beige con suela corrida,5900,https://i.postimg.cc/xjWwkHbM/imagen.webp,Botas,
3,602,Botas cortas al tobillo,"Combinacion cuero negro y animalprint, suela corrida color blanco, con cierre",5900,https://i.postimg.cc/gjfNnvSJ/imageeeeeen.webp,Botas,
4,602,Botas cortas al tobillo,"Combinación de cuero negro con estampado estilo cow print. Diseño con taco y suela resistente, incluye cierre lateral para un calce cómodo.",5900,https://i.postimg.cc/wBdZWdkv/Pasted-Graphic-8.webp,Botas,
5,724,Botas Texana,Bota texana de gamuza color suela con detalles de flecos. Diseño con taco de madera y suela resistente. Calce cómodo con tiradores laterales.,6300,https://i.postimg.cc/tCNx13mM/Pasted-Graphic-6.webp,Botas,
6,602,Bota de Gamuza,Bota corta de gamuza color beige con elastico color natural. Diseño con taco de madera y suela resistente. Calce cómodo.,5900,https://i.postimg.cc/TPXX5bLp/Pasted-Graphic-4.webp,Botas,
7,358,Botines estilo chelsea,"Bota urbana de caña corta forrada en pelo sintético con estampado animal print de leopardo. Diseño con elásticos laterales para un calce fácil y cómodo. Suela de goma antideslizante y costuras reforzadas a la vista. Estilo moderno y versátil, ideal para un look casual con personalidad.",5900,https://i.postimg.cc/9FWRZ49g/Pasted-Graphic-2.webp,Botines,
8,358,Botines estilo chelsea,"Bota urbana de cuero color suela con detalles de textura acolchada en los laterales. Diseño con elásticos laterales para un calce fácil y cómodo. Suela de goma antideslizante y costuras reforzadas. Estilo versátil, ideal para uso diario con un toque sofisticado.",5900,https://i.postimg.cc/CM4dhF2G/Pasted-Graphic-3.webp,Botines,
9,358,Botines estilo chelsea,"Bota urbana de cuero color suela con detalles en cuero grabado símil reptil en tono beige. Diseño con elásticos laterales negros para facilitar el calce y brindar mayor comodidad. Suela de goma negra antideslizante y costuras reforzadas a la vista. Estilo moderno y sofisticado, ideal para un look urbano con personalidad.",5900,https://i.postimg.cc/2jwkh0rh/Pasted-Graphic-7.webp,Botines,
10,734,Bota texana cebra,Bota texana de gamuza con estampado símil cebra en tonos gris y blanco. Diseño de caña media con taco de madera apilada y puntera levemente en punta. Calce cómodo con tiradores laterales. Ideal para un look urbano con personalidad y estilo.,5900,https://i.postimg.cc/5tD0Kgtp/Pasted-Graphic-1-1.webp,Botas,
11,734,Bota texana Marfil,"Bota texana de cuero en tono marfil, con detalle de textura tramada en el talón y tirador lateral. Diseño de punta fina y taco de madera apilada, estilo vaquero clásico. Calce cómodo y elegante, ideal para looks sofisticados y urbanos.",5900,https://i.postimg.cc/1XG0vLRG/Pasted-Graphic-1.webp,Botas,
12,734,Bota texana suela trenzada,"Bota texana de cuero color suela con detalles de trenza en la parte superior y talón en cuero texturado marrón. Diseño de caña media con costuras decorativas y perforaciones en la puntera. Taco de madera apilada y punta levemente afinada. Calce cómodo con cierre lateral, ideal para looks casuales y urbanos con un toque distintivo.",5900,https://i.postimg.cc/m2SNCf5R/Pasted-Graphic-1.webp,Botas,
13,915,Bota urbana negra con hebilla,"Bota urbana de caña media confeccionada en cuero negro, con detalles de textura tramada en el talón y una hebilla metálica decorativa en el lateral. Diseño con elásticos laterales para un calce cómodo, suela de goma antideslizante y taco ancho forrado, que aporta estabilidad y estilo. Ideal para looks modernos y sofisticados.",5900,https://i.postimg.cc/bvb5zkSw/image.png,Botas,
14,915,Bota urbana marron con hebilla,bota caña corta,5900,https://i.postimg.cc/Bb4JRVf5/Botitas.webp,botas,
15,725,Botas urbana marron combinada,Esta bota de caña corta tiene un diseño muy llamativo y moderno.,5900,https://i.postimg.cc/ydBGQxQp/unknown.png,Botas,
